                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.1455,                0.52572,                 1.0974,                0.95993,                0.91942,                0.97253,                0.66518,                 1.1969,                0.52871,                 1.1673,               0.008416,               0.008416,               0.008416
                     66,                 1.2035,                 0.5453,                 1.1325,                0.95822,                0.91985,                0.97235,                0.66522,                  1.197,                0.53383,                 1.1631,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.1758,                0.55352,                  1.114,                0.95142,                0.92545,                0.97295,                0.67138,                 1.1742,                0.52736,                  1.149,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.1846,                0.55621,                 1.1168,                 0.9582,                0.92108,                0.97238,                0.66514,                  1.183,                0.53206,                 1.1479,              0.0083418,              0.0083418,              0.0083418
                     69,                 1.1673,                0.55431,                 1.1264,                0.96247,                0.92435,                 0.9728,                0.66352,                 1.2015,                0.53014,                 1.1558,               0.008317,               0.008317,               0.008317
                     70,                 1.1583,                0.54685,                 1.1099,                0.95781,                0.91959,                0.97173,                0.66489,                 1.1976,                0.53139,                 1.1663,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.1661,                0.53278,                 1.1014,                0.95903,                0.92488,                0.97476,                0.66931,                 1.1795,                0.52133,                 1.1548,              0.0082675,              0.0082675,              0.0082675
                     72,                 1.1628,                0.58128,                 1.0891,                0.96153,                0.92049,                0.97413,                0.66842,                 1.1881,                0.53066,                 1.1521,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.1778,                0.54163,                 1.1117,                0.95979,                0.92017,                0.97014,                0.65284,                 1.2368,                0.54026,                  1.189,               0.008218,               0.008218,               0.008218
                     74,                 1.1195,                0.51883,                 1.0912,                0.96179,                0.92306,                0.97364,                0.66924,                 1.1851,                0.52082,                 1.1534,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.1691,                 0.5312,                 1.1091,                0.96144,                0.92306,                0.97315,                0.66831,                 1.1849,                 0.5332,                 1.1563,              0.0081685,              0.0081685,              0.0081685
                     76,                 1.1287,                0.54775,                 1.1093,                0.95519,                0.92504,                0.97336,                0.67125,                 1.1754,                0.52511,                  1.149,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.1152,                 0.5075,                 1.1123,                0.95897,                0.92456,                0.97313,                0.66484,                 1.1699,                0.50931,                 1.1451,               0.008119,               0.008119,               0.008119
                     78,                 1.1482,                0.52156,                 1.0896,                0.95874,                0.92874,                0.97435,                0.66663,                 1.1898,                0.52189,                 1.1543,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.1705,                0.52728,                 1.1132,                0.95574,                 0.9303,                 0.9744,                0.66239,                 1.1985,                0.52158,                 1.1449,              0.0080695,              0.0080695,              0.0080695
                     80,                 1.1354,                0.51537,                 1.1084,                0.96032,                0.92424,                0.97329,                0.67112,                 1.1696,                0.51051,                 1.1535,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.1398,                0.51433,                 1.0933,                0.96347,                 0.9242,                0.97511,                0.67729,                 1.1653,                0.50008,                 1.1445,                0.00802,                0.00802,                0.00802
                     82,                 1.1295,                0.51377,                 1.0848,                0.96203,                0.93134,                0.97727,                 0.6723,                 1.1708,                0.50171,                 1.1397,              0.0079953,              0.0079953,              0.0079953
                     83,                 1.1411,                0.51856,                 1.1072,                0.95796,                0.92938,                0.97647,                0.67804,                 1.1651,                0.50076,                 1.1472,              0.0079705,              0.0079705,              0.0079705
                     84,                 1.1606,                0.55038,                 1.0935,                0.95973,                0.92231,                0.97267,                0.66698,                 1.1828,                0.52015,                 1.1584,              0.0079457,              0.0079457,              0.0079457
                     85,                 1.1092,                0.51456,                  1.093,                0.95975,                 0.9206,                0.97241,                0.66465,                 1.1882,                0.52682,                 1.1604,               0.007921,               0.007921,               0.007921
                     86,                 1.1229,                0.51554,                 1.0857,                0.95863,                0.92622,                0.97468,                 0.6726,                 1.1653,                0.51406,                 1.1444,              0.0078963,              0.0078963,              0.0078963
                     87,                 1.1148,                0.52526,                 1.0874,                0.96236,                 0.9251,                0.97581,                0.67311,                 1.1783,                0.51322,                 1.1488,              0.0078715,              0.0078715,              0.0078715
                     88,                 1.1143,                0.51523,                 1.0756,                0.95757,                0.92231,                0.97176,                0.67445,                 1.1701,                0.52111,                 1.1415,              0.0078467,              0.0078467,              0.0078467
                     89,                  1.121,                0.51547,                 1.0801,                0.95952,                0.93003,                0.97625,                0.67798,                 1.1607,                0.50121,                 1.1352,               0.007822,               0.007822,               0.007822
                     90,                 1.1304,                0.51494,                 1.0738,                0.96391,                0.92738,                0.97662,                0.67549,                 1.1741,                0.50641,                 1.1521,              0.0077973,              0.0077973,              0.0077973
                     91,                 1.1121,                0.50335,                 1.0875,                0.96431,                0.92381,                0.97599,                0.67573,                 1.1821,                0.49913,                 1.1593,              0.0077725,              0.0077725,              0.0077725
                     92,                 1.1198,                0.50685,                 1.0688,                 0.9583,                0.93332,                0.97625,                0.67232,                 1.1829,                0.49394,                 1.1463,              0.0077478,              0.0077478,              0.0077478
                     93,                 1.1265,                0.50205,                 1.1155,                0.95449,                0.93045,                0.97559,                0.68068,                 1.1583,                0.49872,                 1.1435,               0.007723,               0.007723,               0.007723
                     94,                 1.1213,                0.51279,                 1.1036,                0.96399,                0.92735,                0.97624,                0.66639,                 1.2164,                0.50075,                 1.1748,              0.0076983,              0.0076983,              0.0076983
                     95,                 1.1439,                0.51779,                 1.0811,                0.96074,                0.92649,                0.97477,                0.67419,                 1.1734,                0.49952,                 1.1493,              0.0076735,              0.0076735,              0.0076735
                     96,                 1.1534,                0.71381,                 1.1027,                0.95262,                0.89417,                0.95916,                0.64526,                 1.2622,                0.56949,                 1.2099,              0.0076488,              0.0076488,              0.0076488
                     97,                 1.1223,                0.51282,                  1.089,                 0.9598,                0.91851,                0.97086,                0.66138,                 1.2062,                 0.5149,                 1.1679,               0.007624,               0.007624,               0.007624
                     98,                 1.1144,                0.51234,                 1.0782,                0.95994,                0.93035,                0.97504,                 0.6746,                 1.1824,                0.50417,                 1.1587,              0.0075993,              0.0075993,              0.0075993
                     99,                 1.1256,                0.51289,                 1.1099,                0.95949,                0.92638,                0.97342,                0.67711,                 1.1589,                0.49547,                 1.1375,              0.0075745,              0.0075745,              0.0075745
                    100,                 1.0973,                0.52678,                 1.0684,                0.95975,                0.93271,                0.97689,                0.68237,                 1.1563,                0.49179,                 1.1343,              0.0075498,              0.0075498,              0.0075498
                    101,                   1.13,                0.49835,                 1.0866,                0.96131,                0.92931,                0.97572,                0.67328,                 1.1861,                0.49852,                 1.1543,               0.007525,               0.007525,               0.007525
                    102,                 1.1414,                0.52651,                 1.1017,                0.96455,                0.92338,                0.97403,                0.67137,                 1.1767,                0.50292,                 1.1515,              0.0075003,              0.0075003,              0.0075003
                    103,                 1.1386,                0.50809,                 1.1039,                0.96282,                 0.9268,                0.97418,                0.67775,                 1.1472,                0.49286,                  1.135,              0.0074755,              0.0074755,              0.0074755
                    104,                 1.1328,                0.50051,                 1.0903,                0.96656,                0.92928,                0.97785,                0.67874,                 1.1582,                0.48792,                  1.136,              0.0074507,              0.0074507,              0.0074507
                    105,                 1.1026,                0.48819,                 1.0623,                0.96605,                0.93307,                0.97989,                 0.6872,                 1.1398,                0.48308,                 1.1295,               0.007426,               0.007426,               0.007426
                    106,                 1.1015,                0.48938,                 1.0785,                0.96057,                0.92927,                0.97677,                0.68318,                 1.1462,                0.49051,                 1.1332,              0.0074013,              0.0074013,              0.0074013
                    107,                 1.1019,                0.50133,                 1.0626,                 0.9618,                0.93349,                0.97751,                0.68375,                 1.1496,                0.48597,                 1.1368,              0.0073765,              0.0073765,              0.0073765
                    108,                 1.1247,                0.54467,                 1.0916,                0.96191,                0.93086,                 0.9768,                0.68321,                   1.15,                0.48918,                 1.1339,              0.0073517,              0.0073517,              0.0073517
                    109,                 1.0821,                0.48315,                 1.0596,                0.96105,                 0.9326,                0.97825,                0.68481,                 1.1538,                0.48636,                 1.1366,               0.007327,               0.007327,               0.007327
                    110,                 1.1251,                 0.5156,                  1.091,                0.96544,                0.92745,                0.97749,                 0.6789,                 1.1623,                0.48901,                 1.1452,              0.0073023,              0.0073023,              0.0073023
                    111,                 1.0949,                0.50739,                 1.0865,                0.96509,                 0.9282,                0.97689,                0.68245,                 1.1617,                0.49086,                 1.1475,              0.0072775,              0.0072775,              0.0072775
                    112,                 1.1336,                0.51314,                 1.0753,                 0.9606,                0.92217,                0.97432,                0.68447,                 1.1474,                0.50368,                 1.1319,              0.0072527,              0.0072527,              0.0072527
                    113,                 1.1066,                0.50313,                 1.0856,                0.95678,                0.92985,                0.97576,                 0.6804,                 1.1633,                 0.4911,                 1.1445,               0.007228,               0.007228,               0.007228
                    114,                 1.1085,                0.49676,                 1.0555,                0.96238,                0.92885,                0.97637,                0.68414,                 1.1484,                0.48753,                 1.1425,              0.0072033,              0.0072033,              0.0072033
                    115,                 1.1154,                0.49957,                 1.0761,                0.96096,                0.93367,                0.97891,                0.68609,                 1.1362,                 0.4802,                 1.1266,              0.0071785,              0.0071785,              0.0071785
                    116,                 1.1037,                0.49506,                 1.0593,                0.96309,                0.92825,                0.97708,                0.68764,                  1.143,                0.48133,                 1.1377,              0.0071538,              0.0071538,              0.0071538
                    117,                  1.096,                0.48698,                 1.0749,                0.96031,                0.93337,                0.97851,                0.68321,                  1.157,                0.48545,                  1.135,               0.007129,               0.007129,               0.007129
                    118,                 1.1144,                0.48258,                 1.0809,                 0.9603,                0.93624,                0.97948,                0.68612,                 1.1425,                 0.4784,                 1.1275,              0.0071042,              0.0071042,              0.0071042
                    119,                 1.0899,                0.47777,                 1.0776,                0.96066,                0.93166,                 0.9765,                0.68909,                 1.1271,                 0.4809,                 1.1286,              0.0070795,              0.0070795,              0.0070795
                    120,                 1.0852,                0.48571,                 1.0687,                 0.9628,                0.93455,                0.97877,                0.69043,                 1.1295,                0.47665,                 1.1264,              0.0070547,              0.0070547,              0.0070547
                    121,                 1.0889,                0.49096,                 1.0705,                0.96279,                0.93442,                0.97888,                0.67888,                 1.1484,                0.47706,                 1.1327,                0.00703,                0.00703,                0.00703
                    122,                 1.0868,                0.47665,                 1.0711,                0.95871,                0.93763,                0.97791,                0.68399,                 1.1385,                0.47264,                 1.1319,              0.0070053,              0.0070053,              0.0070053
